Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C13",0402,3,1uF,
C11,0603,1,22uF,
C12,0402,1,0.1uF,
"C14, C15, C17, C24, C7, C9",0805,6,10uF,
"C16, C18, C19, C2, C20, C21, C4",0402,7,100nF,
C23,CP_EIA-3528-12_Kemet-T,1,100uF,
C25,0402,1,4.7uF,
C5,0402,1,10uF,
C6,0603,1,47nF,
C8,0402,1,1nF,
"D1, D2, D5",0805,3,LED,
D3,D_SOD-323,1,SS54,
D4,D_SMA,1,SS54,
"H1, H2",MountingHole_2.2mm_M2,2,MountingHole,
J1,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,Conn_01x02,
J3,3126-XXXX,1,3126-10200D,
"L1, L2",WPN252010U,2,1uH,
R1,0402,1,3.3k,
"R10, R2, R7",0402,3,330R,
"R11, R12, R13, R15, R17, R18, R19, R20, R21, R22, R23, R25, R26, R3, R4, R8, R9",0402,17,10k,
R14,0603,1,450k,
R16,0402,1,200k,
R24,0402,1,3.6k,
R5,0402,1,510k,
R6,0402,1,68k,
RV1,0402,1,AVRM1005C6R8NT331N,
"SW1, SW2, SW3, SW4",SKRTLB,4,SW_Push,
U1,Texas_S-PWQFN-N24_EP2.7x2.7mm_ThermalVias,1,BQ25601,
"U10, U11, U12, U13, U14",SOT-23-5,5,SN74LV1T34DVBR,
U2,ESP32-WROOM-32,1,ESP32-WROOM-32D,
U3,DRL0006A,1,TPS61023DRL,
U4,SOT-223,1,TLV1117LV30DCYR,
U5,AGS10,1,AGS10,
U6,AHT20,1,AHT20,
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,PCF8563T,
U8,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,1,BMP280,
U9,PCA9306DCUR,1,PCA9306DCUR,
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768kHz,
