Designator,Mid X,Mid Y,Rotation,Layer
C1,16.9,-33.3,0.0,top
C10,18.05,-18.35,0.0,top
C11,21.25,-8.25,270.0,top
C12,19.85,-8.57,270.0,top
C13,15.0,-8.15,180.0,top
C14,47.35,-35.05,90.0,top
C15,47.33,-38.65,90.0,top
C16,6.6,-20.7,270.0,top
C17,4.25,-11.25,0.0,top
C18,17.31,-30.26,0.0,top
C19,2.7,-21.85,90.0,top
C2,42.6,-24.6,270.0,top
C20,37.85,-32.2,90.0,top
C21,21.02,-14.4,180.0,top
C23,37.77,-45.27,0.0,top
C24,37.52,-42.57,0.0,top
C25,17.85,-36.05,0.0,top
C4,47.95,-46.8,90.0,top
C5,17.85,-35.05,0.0,top
C6,18.05,-39.1,90.0,top
C7,12.4,-41.2,270.0,top
C8,21.05,-11.35,180.0,top
C9,50.95,-31.55,90.0,top
D1,20.6,-44.5,0.0,top
D2,30.6,-44.5,0.0,top
D3,17.3,-31.8,0.0,top
D4,44.5,-36.85,90.0,top
D5,25.6,-44.5,0.0,top
J1,5.15,-42.9,0.0,top
J3,24.5,-54.96095,180.0,top
L1,15.3,-40.55,180.0,top
L2,48.45,-32.0,180.0,top
R1,22.75,-40.8,0.0,top
R10,3.15,-13.35,270.0,top
R11,19.15,-20.3,180.0,top
R12,4.45,-16.3,180.0,top
R13,5.445,-20.515,90.0,top
R14,38.05,-29.7,90.0,top
R15,25.3375,-33.6,0.0,top
R16,37.1,-34.55,270.0,top
R17,36.05,-34.55,270.0,top
R18,20.99,-15.45,180.0,top
R19,35.0,-34.55,270.0,top
R2,31.25,-40.8,180.0,top
R20,25.2875,-30.05,0.0,top
R21,10.4,-37.25,0.0,top
R22,10.4,-36.2,0.0,top
R23,20.97,-16.5,180.0,top
R24,46.95,-46.8,90.0,top
R25,14.15,-31.925,270.0,top
R26,15.15,-31.925,270.0,top
R3,13.15,-31.925,90.0,top
R4,21.05,-10.3,0.0,top
R5,50.3,-37.15,0.0,top
R6,50.3,-38.2,180.0,top
R7,25.9,-40.7,180.0,top
R8,21.1,-19.05,180.0,top
R9,21.1,-20.3,180.0,top
RV1,29.5,-48.7,0.0,top
SW1,50.6,-25.95,90.0,top
SW2,50.6,-13.25,90.0,top
SW3,50.6,-47.3,90.0,top
SW4,2.4,-34.4,270.0,top
U1,14.1,-36.5,270.0,top
U10,29.6,-30.2,270.0,top
U11,40.6,-30.4,270.0,top
U12,33.1,-30.2,90.0,top
U13,22.1875,-30.05,180.0,top
U14,22.1875,-33.6,180.0,top
U2,32.05,-15.845,0.0,top
U3,50.2,-35.05,180.0,top
U4,15.35,-13.4,90.0,top
U5,5.35,-24.25,90.0,top
U6,5.3,-13.85,0.0,top
U7,14.895,-26.0,270.0,top
U8,5.15,-18.2,180.0,top
U9,36.1,-31.3,270.0,top
Y1,16.145,-20.975,180.0,top
