Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C16, C2",0603,3,100nF,
C10,0603,1,0.1uF,
C11,0805,1,0.1uF,
C12,0402,1,10uF,
"C13, C6",0402,2,100nF,
C14,0402,1,3.3nF,
C15,0603,1,22uF,
C3,0402,1,4.7uF,
C4,0402,1,10nF,
C5,0402,1,1uF,
C8,CP_EIA-3528-12_Kemet-T,1,100uF,
C9,0805,1,10uF,
J3,3126-XXXX,1,3126-10200D,
J4,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
L1,L_Sunlord_MWSA0518_5.4x5.2mm,1,2.2uH,C408345
"Q1, Q2",SOT-23,2,2N7002E,
"R1, R15, R16, R2, R3, R5, R7, R8",0402,8,10k,
R10,0603,1,750k,
R11,0603,1,270k,
R12,0603,1,10k,
R13,1206,1,50m,
R14,R_Axial_DIN0516_L15.5mm_D5.0mm_P20.32mm_Horizontal,1,130R,
R4,0402,1,450k,
R6,0402,1,200k,
R9,0402,1,100k,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,
U10,SOT-23-5,1,INA180A1,
U2,PCA9306DCUR,1,PCA9306DCUR,
U7,SOT-223,1,AZ1117-3.3,
U8,VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm_ThermalVias,1,TPS62133,C2653764
U9,MSOP-8-1EP_3x3mm_P0.65mm_EP1.95x2.15mm,1,TPS1H000AQDGNRQ1,
