Designator,Mid X,Mid Y,Rotation,Layer
C1,50.2,-65.2,90.0,top
C10,62.992,-31.496,0.0,top
C11,59.975,-25.95,90.0,top
C12,50.13,-38.45,180.0,top
C13,50.15,-37.45,180.0,top
C14,50.15,-39.45,0.0,top
C15,48.3,-41.1,0.0,top
C16,55.5,-33.775,90.0,top
C2,49.45,-55.925,0.0,top
C3,61.28,-58.79,0.0,top
C4,58.0,-65.7,180.0,top
C5,60.6,-62.3,270.0,top
C6,49.17,-50.3,270.0,top
C8,60.4,-34.036,180.0,top
C9,61.1,-37.2,180.0,top
J2,29.6,-51.35,270.0,top
J3,71.0,-51.4,270.0,top
J4,52.4,-25.4,180.0,top
L1,41.825,-35.175,90.0,top
Q1,47.375,-62.775,270.0,top
Q2,55.6,-48.7,90.0,top
R1,61.6,-60.25,90.0,top
R10,51.9,-36.425,270.0,top
R11,51.9,-39.525,270.0,top
R12,56.25,-31.5,180.0,top
R13,49.95,-33.05,270.0,top
R14,41.9,-46.525,270.0,top
R15,56.04,-51.2,180.0,top
R16,55.1,-46.2,180.0,top
R2,53.99,-53.76,90.0,top
R3,56.08,-65.74,0.0,top
R4,50.49,-53.0,0.0,top
R5,47.81,-60.27,180.0,top
R6,49.17,-48.3,90.0,top
R7,50.4,-47.0,90.0,top
R8,51.775,-47.0,90.0,top
R9,45.8,-40.85,0.0,top
U1,54.8,-60.0,180.0,top
U10,52.975,-32.825,270.0,top
U2,51.1,-50.2,90.0,top
U7,65.6,-26.9,0.0,top
U8,46.95,-38.15,0.0,top
U9,54.475,-38.475,90.0,top
